===============================================================================================
🚀 KHỞI ĐỘNG HUẤN LUYỆN BASELINE - THIẾT BỊ: cuda
Batch Size: 4 | Epochs: 50 | LR: 0.0001
===============================================================================================
🥇 [BEST] Epoch 1 | Train Loss: 1.4302 | Val Loss: 1.2480 | Dice: 0.6641 | IoU: 0.5380 | Pre: 0.5652 | Rec: 0.8448
🥇 [BEST] Epoch 2 | Train Loss: 1.1788 | Val Loss: 1.1474 | Dice: 0.6832 | IoU: 0.5586 | Pre: 0.5937 | Rec: 0.8516
🥇 [BEST] Epoch 3 | Train Loss: 1.0854 | Val Loss: 1.0330 | Dice: 0.7348 | IoU: 0.6154 | Pre: 0.6761 | Rec: 0.8500
🥇 [BEST] Epoch 4 | Train Loss: 1.0044 | Val Loss: 0.9504 | Dice: 0.7549 | IoU: 0.6372 | Pre: 0.6822 | Rec: 0.8753
🥇 [BEST] Epoch 5 | Train Loss: 0.9311 | Val Loss: 0.8794 | Dice: 0.7806 | IoU: 0.6640 | Pre: 0.6991 | Rec: 0.9107
🥇 [BEST] Epoch 6 | Train Loss: 0.8643 | Val Loss: 0.8007 | Dice: 0.7845 | IoU: 0.6709 | Pre: 0.7190 | Rec: 0.8905
🥇 [BEST] Epoch 7 | Train Loss: 0.7972 | Val Loss: 0.7414 | Dice: 0.7939 | IoU: 0.6751 | Pre: 0.7057 | Rec: 0.9386
🥇 [BEST] Epoch 8 | Train Loss: 0.7304 | Val Loss: 0.6821 | Dice: 0.7979 | IoU: 0.6839 | Pre: 0.7562 | Rec: 0.8828
🥇 [BEST] Epoch 9 | Train Loss: 0.6639 | Val Loss: 0.6008 | Dice: 0.8157 | IoU: 0.7055 | Pre: 0.7517 | Rec: 0.9264
Epoch 10 | Train Loss: 0.5985 | Val Loss: 0.5292 | Dice: 0.8140 | IoU: 0.7052 | Pre: 0.7464 | Rec: 0.9370
🥇 [BEST] Epoch 11 | Train Loss: 0.5342 | Val Loss: 0.4597 | Dice: 0.8279 | IoU: 0.7221 | Pre: 0.7518 | Rec: 0.9517
🥇 [BEST] Epoch 12 | Train Loss: 0.4671 | Val Loss: 0.4029 | Dice: 0.8294 | IoU: 0.7235 | Pre: 0.7639 | Rec: 0.9379
