===============================================================================================
🚀 KHỞI ĐỘNG HUẤN LUYỆN BASELINE - THIẾT BỊ: cuda
Batch Size: 8 | Epochs: 50 | LR: 0.0001
===============================================================================================
🥇 [BEST] Epoch 001 | Train Loss: 1.0508 | Val Loss: 0.9830 | Dice: 0.0656 | IoU: 0.0386 | Pre: 0.1444 | Rec: 0.0668
🥇 [BEST] Epoch 002 | Train Loss: 0.9862 | Val Loss: 0.9650 | Dice: 0.1329 | IoU: 0.0864 | Pre: 0.1754 | Rec: 0.1581
🥇 [BEST] Epoch 003 | Train Loss: 0.9573 | Val Loss: 0.9266 | Dice: 0.1821 | IoU: 0.1217 | Pre: 0.2201 | Rec: 0.2359
🥇 [BEST] Epoch 004 | Train Loss: 0.9288 | Val Loss: 0.9156 | Dice: 0.2004 | IoU: 0.1365 | Pre: 0.2142 | Rec: 0.2952
🥇 [BEST] Epoch 005 | Train Loss: 0.9068 | Val Loss: 0.8899 | Dice: 0.2320 | IoU: 0.1584 | Pre: 0.2348 | Rec: 0.3567
🥇 [BEST] Epoch 006 | Train Loss: 0.8807 | Val Loss: 0.8621 | Dice: 0.2470 | IoU: 0.1732 | Pre: 0.2757 | Rec: 0.3417
Epoch 007 | Train Loss: 0.8643 | Val Loss: 0.8803 | Dice: 0.2038 | IoU: 0.1439 | Pre: 0.3068 | Rec: 0.2158
🥇 [BEST] Epoch 008 | Train Loss: 0.8447 | Val Loss: 0.8703 | Dice: 0.2740 | IoU: 0.1892 | Pre: 0.2566 | Rec: 0.5024
Epoch 009 | Train Loss: 0.8216 | Val Loss: 0.8398 | Dice: 0.2605 | IoU: 0.1835 | Pre: 0.3109 | Rec: 0.3163
🥇 [BEST] Epoch 010 | Train Loss: 0.8128 | Val Loss: 0.8173 | Dice: 0.2996 | IoU: 0.2119 | Pre: 0.2878 | Rec: 0.4933
🥇 [BEST] Epoch 011 | Train Loss: 0.7804 | Val Loss: 0.8070 | Dice: 0.3077 | IoU: 0.2189 | Pre: 0.2897 | Rec: 0.4975
Epoch 012 | Train Loss: 0.7594 | Val Loss: 0.8158 | Dice: 0.2925 | IoU: 0.2098 | Pre: 0.3237 | Rec: 0.3968
Epoch 013 | Train Loss: 0.7535 | Val Loss: 0.7968 | Dice: 0.3050 | IoU: 0.2200 | Pre: 0.3261 | Rec: 0.3960
🥇 [BEST] Epoch 014 | Train Loss: 0.7325 | Val Loss: 0.7883 | Dice: 0.3182 | IoU: 0.2282 | Pre: 0.3109 | Rec: 0.4751
Epoch 015 | Train Loss: 0.7184 | Val Loss: 0.8002 | Dice: 0.3047 | IoU: 0.2218 | Pre: 0.3152 | Rec: 0.4208
